Learning Standard,Category,Sub-Category,State Standard,,,
SL.8.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,
SL.9-10.1,Speaking & Listening,Comprehension and Collaboration,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 9–10 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively.",,,
SL.9-10.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.",,,
SL.9-10.1.b,Speaking & Listening,Comprehension and Collaboration,"Work with peers to set rules for collegial discussions and decision-making (e.g., informal consensus, taking votes on key issues, presentation of alternate views), clear goals and deadlines, and individual roles as needed.",,,
SL.9-10.1.c,Speaking & Listening,Comprehension and Collaboration,"Propel conversations by posing and responding to questions that relate the current discussion to broader themes or larger ideas; actively incorporate others into the discussion; and clarify, verify, or challenge ideas and conclusions.",,,
SL.9-10.1.d,Speaking & Listening,Comprehension and Collaboration,"Respond thoughtfully to diverse perspectives, summarize points of agreement and disagreement, and, when warranted, qualify or justify their own views and understanding and make new connections in light of the evidence and reasoning presented.",,,
SL.9-10.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand other perspectives and cultures and communicate effectively with audiences or individuals from varied backgrounds.,,,
SL.9-10.2,Speaking & Listening,Comprehension and Collaboration,"Integrate multiple sources of information presented in diverse media or formats (e.g., visually, quantitatively, orally) evaluating the credibility and accuracy of each source.",,,
SL.9-10.3,Speaking & Listening,Comprehension and Collaboration,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, identifying any fallacious reasoning or exaggerated or distorted evidence.",,,
SL.9-10.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Present information, findings, and supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning and the organization, development, substance, and style are appropriate to purpose, audience, and task.",,,
SL.9-10.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",,,
SL.9-10.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,
SL.11-12.1,Speaking & Listening,Comprehension and Collaboration,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 11–12 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively.",,,
SL.11-12.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.",,,
SL.11-12.1.b,Speaking & Listening,Comprehension and Collaboration,"Work with peers to promote civil, democratic discussions and decision-making, set clear goals and deadlines, and establish individual roles as needed.",,,
SL.11-12.1.c,Speaking & Listening,Comprehension and Collaboration,"Propel conversations by posing and responding to questions that probe reasoning and evidence; ensure a hearing for a full range of positions on a topic or issue; clarify, verify, or challenge ideas and conclusions; and promote divergent and creative perspectives.",,,
SL.11-12.1.d,Speaking & Listening,Comprehension and Collaboration,"Respond thoughtfully to diverse perspectives; synthesize comments, claims, and evidence made on all sides of an issue; resolve contradictions when possible; and determine what additional information or research is required to deepen the investigation or complete the task.",,,
SL.11-12.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand other perspectives and cultures and communicate effectively with audiences or individuals from varied backgrounds.,,,
SL.11-12.2,Speaking & Listening,Comprehension and Collaboration,"Integrate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, orally) in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data."," and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?",,
SL.11-12.3,Speaking & Listening,Comprehension and Collaboration,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used.",,,
SL.11-12.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks.",,,
SL.11-12.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",,,
